datetime,latitude,longitude
2014-03-08 23:01,36.3807958341,139.0268466032
2014-03-08 23:06,36.4190626545,139.0193283507
2014-03-08 23:41,36.4444687321,139.0146833221
2014-03-08 23:48,36.4798531,139.0199715607
2014-03-08 23:55,36.5319841575,139.0460821305
2014-03-09 00:02,36.6068930502,139.0628569949
2014-03-09 00:09,36.6624385645,139.0674553046
2014-03-09 00:16,36.6965998706,138.991808457
2014-03-09 00:23,36.7649693265,138.9647133887
2014-03-09 00:31,36.8985650379,138.8459921311
2014-03-09 00:38,37.0630308065,138.8661809543
2014-03-10 00:44,35.71268998,139.7037919613
2014-03-10 00:50,35.7005038059,139.700268517
2014-03-10 00:56,35.6711109107,139.7028559274
2014-03-10 01:01,35.6687727283,139.7052482472
2014-03-10 01:07,35.667137335,139.7084600409
2014-03-10 02:58,35.6656980539,139.7114042828
2014-03-10 03:55,35.6654507395,139.7119748921
2014-03-10 09:28,35.6659580342,139.7105554763
2014-03-10 09:33,35.6685346424,139.7055424262
2014-03-10 09:39,35.6701733334,139.7028544181
2014-03-10 09:45,35.6833593245,139.7021755426
2014-03-10 09:50,35.6905994467,139.7007554382
2014-03-10 11:13,35.6923444086,139.7016675821
2014-03-10 11:19,35.6942805469,139.7019522247
2014-03-10 12:47,35.6949580016,139.7036864677
2014-03-10 12:53,35.6935541161,139.7011579974
2014-03-10 12:59,35.6956537546,139.6999064811
2014-03-10 13:05,35.7110331665,139.703146403
2014-03-10 13:11,35.7151232897,139.6866489075
2014-03-10 13:17,35.7193170393,139.664594856
2014-03-10 13:23,35.7195421208,139.6516281612
2014-03-11 10:20,35.7185399666,139.6532829461
2014-03-11 10:25,35.7097460343,139.6537335997
2014-03-11 10:31,35.7056834869,139.6502674569
2014-03-11 11:24,35.7070304559,139.6516113293
2014-03-11 11:29,35.7153903857,139.6537827799
2014-03-12 00:25,35.7195550871,139.6519610665
2014-03-12 00:30,35.7196178477,139.6536774906
2014-03-12 00:36,35.7149445609,139.6840156192
2014-03-12 00:41,35.7153377231,139.704856238
2014-03-12 00:47,35.7070148916,139.7018585096
2014-03-12 00:53,35.683550623,139.7022628421
2014-03-12 00:58,35.6694482503,139.7035610143
2014-03-12 01:04,35.6679383153,139.7063600015
2014-03-12 01:09,35.6657759187,139.7107478315
2014-03-12 03:55,35.6669338141,139.7111175846
2014-03-12 05:22,35.6669183253,139.7111106085
2014-03-12 10:19,35.6660204514,139.7106806627
2014-03-12 10:25,35.6698903131,139.7030027529
2014-03-12 10:32,35.6848897114,139.7019127836
2014-03-12 10:38,35.706270397,139.681782436
2014-03-12 10:45,35.7053362943,139.6500040911
2014-03-12 10:59,35.7069970024,139.6498327046
2014-03-12 13:36,35.7083096558,139.649727625
2014-03-12 14:32,35.7137239281,139.6515892221
2014-03-12 14:39,35.7169218497,139.6504783064
2014-03-12 14:45,35.719674758,139.6510039621
2014-03-13 00:33,35.7194129523,139.6649094821
2014-03-13 00:52,35.6776274125,139.7037532213
2014-03-13 01:40,35.6668038265,139.7110262255
2014-03-13 05:52,35.6629482864,139.7094629169
2014-03-13 06:01,35.6642941937,139.7118488416
2014-03-13 09:43,35.6710995772,139.7028103567
2014-03-13 10:03,35.7144093556,139.704888363
2014-03-13 10:23,35.7195198928,139.6538502756
2014-03-14 00:32,35.7192717658,139.6647470168
2014-03-14 00:38,35.7151214736,139.6863117339
2014-03-14 00:44,35.712620231,139.7037184201
2014-03-14 00:50,35.7007227311,139.7002268441
2014-03-14 00:56,35.671316965,139.7028034062
2014-03-14 01:02,35.6698351219,139.703042128
2014-03-14 03:05,35.6658048923,139.7112767062
2014-03-14 03:11,35.6631903763,139.7093424697
2014-03-14 04:56,35.6657337179,139.7117931874
2014-03-14 11:07,35.6729258296,139.7499456551
2014-03-14 11:38,35.733994498,139.7987176463
2014-03-15 01:53,35.731265981,139.7957718569
2014-03-15 02:03,35.6907950951,139.7784615858
2014-03-15 02:14,35.6617894148,139.7298888871
2014-03-15 02:24,35.6616543504,139.7295049969
2014-03-15 02:35,35.66023773,139.7297964567
2014-03-15 04:42,35.661129463,139.7294351362
2014-03-15 05:24,35.6616848359,139.7297335096
2014-03-15 05:30,35.6619227513,139.7306704288
2014-03-15 05:43,35.6623229799,139.732579514
2014-03-15 06:09,35.6622832692,139.7327235635
2014-03-15 07:27,35.714259711,139.6869487789
2014-03-15 07:56,35.7151737973,139.6863177332
2014-03-15 08:03,35.7193998643,139.65879947
2014-03-15 09:59,35.7193011106,139.664964312
2014-03-15 10:05,35.7157538748,139.6731170318
2014-03-15 10:10,35.7124108874,139.7036404713
2014-03-15 10:16,35.6951206148,139.7002230921
2014-03-15 13:00,35.6962063361,139.7018979714
2014-03-15 13:06,35.6932253825,139.7004512656
2014-03-15 13:12,35.6915058466,139.7001924814
2014-03-15 13:18,35.7136910814,139.7040849828
2014-03-15 13:24,35.7332372458,139.7226260908
2014-03-15 13:30,35.7397949964,139.7541617724
2014-03-15 13:36,35.7273070129,139.7714415361
2014-03-15 13:42,35.733994498,139.7987176463
2014-03-16 00:18,35.733128916,139.7989796146
2014-03-16 00:25,35.7308523266,139.7948463656
2014-03-16 00:32,35.697304135,139.7752795203
2014-03-16 00:39,35.6978121803,139.7724011628
2014-03-16 00:46,35.6990068665,139.7725453248
2014-03-16 00:52,35.698678979,139.7712912712
2014-03-16 01:38,35.6997533876,139.764841304
2014-03-16 01:44,35.6914451343,139.7351833669
2014-03-16 01:50,35.6835311936,139.702196183
2014-03-16 01:56,35.6912478946,139.7008037401
2014-03-16 03:26,35.6913290082,139.6982490746
2014-03-16 03:35,35.6889327659,139.698775844
2014-03-16 03:45,35.6825119479,139.6873787638
2014-03-16 04:55,35.6841084947,139.6864958197
2014-03-16 05:01,35.6908707206,139.6818066086
2014-03-16 05:06,35.6988109953,139.6829831475
2014-03-16 05:12,35.7025089215,139.6722977221
2014-03-16 05:18,35.7058611138,139.6653888942
2014-03-16 06:32,35.7088722891,139.6649697262
2014-03-16 06:52,35.7095715685,139.6633454518
2014-03-16 07:07,35.7096945771,139.6544427392
2014-03-16 07:13,35.7176475594,139.653752215
2014-03-17 00:28,35.7195780615,139.6516740217
2014-03-17 00:41,35.7130654499,139.7041235853
2014-03-17 00:55,35.6718237247,139.7027891501
2014-03-17 01:09,35.6670829854,139.7119491132
2014-03-17 04:48,35.6776755914,139.7701165366
2014-03-17 06:22,35.6807717899,139.7666287012
2014-03-17 07:00,35.7119221408,139.7743645373
2014-03-17 09:06,35.6657654029,139.7109189711
2014-03-17 09:16,35.6682227439,139.706307794
2014-03-17 09:33,35.6954394388,139.6995047541
2014-03-17 09:53,35.7148991725,139.687577291
2014-03-17 10:02,35.7199950368,139.6526630622
2014-03-18 00:31,35.7196084248,139.6613294185
2014-03-18 00:37,35.7150772916,139.6860996019
2014-03-18 00:43,35.7127432944,139.7038308403
2014-03-18 00:49,35.7006988477,139.7001608886
2014-03-18 00:55,35.6765956041,139.7039737574
